num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant,true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
5,1,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
5,2,0.6,0.6,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
5,2,0.6,0.7,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
5,2,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
5,3,0.6,0.6,38,65,31,10,0.715277778,0.550724638,0.791666667,0.64957265
5,3,0.6,0.7,38,65,31,10,0.715277778,0.550724638,0.791666667,0.64957265
5,3,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
5,4,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
5,5,0.6,0.8,37,66,30,11,0.715277778,0.552238806,0.770833333,0.643478261
4,1,0.7,0.6,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,1,0.7,0.7,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,1,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,2,0.7,0.6,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,2,0.7,0.7,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,2,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,3,0.7,0.6,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
4,3,0.7,0.7,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
4,3,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,4,0.6,0.6,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
4,4,0.6,0.7,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
4,4,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
4,5,0.6,0.7,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
4,5,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,1,0.7,0.6,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,1,0.7,0.7,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,1,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,2,0.7,0.6,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,2,0.7,0.7,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,2,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,3,0.7,0.6,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
5,3,0.7,0.7,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
5,3,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,4,0.6,0.6,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
5,4,0.6,0.7,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
5,4,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
5,5,0.6,0.7,38,64,32,10,0.708333333,0.542857143,0.791666667,0.644067797
5,5,0.7,0.8,37,65,31,11,0.708333333,0.544117647,0.770833333,0.637931034
3,4,0.6,0.6,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
3,4,0.6,0.7,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
3,5,0.6,0.7,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
4,4,0.7,0.6,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
4,4,0.7,0.7,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
4,5,0.7,0.7,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
5,4,0.7,0.6,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
5,4,0.7,0.7,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
5,5,0.6,0.6,38,63,33,10,0.701388889,0.535211268,0.791666667,0.638655462
