frac, num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
single,4,3,0.8,0.8,65,105,10,770,10,405,0.6527196652719666,0.5,0.024096385542168676,0.04597701149425288
single,4,3,0.8,0.8,65,110,4,772,8,411,0.6493723849372385,0.3333333333333333,0.00963855421686747,0.01873536299765808
single,4,3,0.8,0.8,65,115,1,772,8,414,0.6468619246861924,0.1111111111111111,0.0024096385542168677,0.0047169811320754715
single,4,3,0.8,0.8,70,40,414,43,737,1,0.38242677824267785,0.35968722849695917,0.9975903614457832,0.5287356321839081
single,4,3,0.8,0.8,70,45,412,88,692,3,0.41841004184100417,0.37318840579710144,0.9927710843373494,0.5424621461487821
single,4,3,0.8,0.8,70,50,409,137,643,6,0.45690376569037655,0.3887832699619772,0.9855421686746988,0.5576005453306067
single,4,3,0.8,0.8,70,55,400,205,575,15,0.5062761506276151,0.41025641025641024,0.963855421686747,0.5755395683453238
single,4,3,0.8,0.8,70,60,389,266,514,26,0.5481171548117155,0.43078626799557035,0.9373493975903614,0.590288315629742
single,4,3,0.8,0.8,70,65,378,336,444,37,0.597489539748954,0.45985401459854014,0.9108433734939759,0.6111560226354082
single,4,3,0.8,0.8,70,70,347,423,357,68,0.6443514644351465,0.4928977272727273,0.8361445783132531,0.6201966041108132
single,4,3,0.8,0.8,70,75,307,491,289,108,0.6677824267782427,0.5151006711409396,0.7397590361445783,0.6073194856577645
single,4,3,0.8,0.8,70,80,266,577,203,149,0.705439330543933,0.5671641791044776,0.6409638554216868,0.6018099547511312
single,4,3,0.8,0.8,70,85,210,664,116,205,0.7313807531380753,0.6441717791411042,0.5060240963855421,0.5668016194331983
single,4,3,0.8,0.8,70,90,153,711,69,262,0.7230125523012553,0.6891891891891891,0.3686746987951807,0.4803767660910518
single,4,3,0.8,0.8,70,95,106,737,43,309,0.705439330543933,0.7114093959731543,0.25542168674698795,0.375886524822695
single,4,3,0.8,0.8,70,100,71,755,25,344,0.6912133891213389,0.7395833333333334,0.1710843373493976,0.27788649706457924
single,4,3,0.8,0.8,70,105,34,764,16,381,0.6677824267782427,0.68,0.0819277108433735,0.14623655913978495
