num_similar_relevant,num_similar_irrelevant,similarity_threshold_relevant,similarity_threshold_irrelevant, num_words_relevant, num_words_irrelevant, true_positive,true_negative,false_positive,false_negative,accuracy,precision,recall,f1_score
3,1,0.6,0.8,80,115,0,96,0,48,0.6666666666666666,0,0.0,0
3,1,0.6,0.8,85,40,47,14,82,1,0.4236111111111111,0.3643410852713178,0.9791666666666666,0.5310734463276836
3,1,0.6,0.8,85,45,46,24,72,2,0.4861111111111111,0.3898305084745763,0.9583333333333334,0.5542168674698795
3,1,0.6,0.8,85,50,46,30,66,2,0.5277777777777778,0.4107142857142857,0.9583333333333334,0.575
3,1,0.6,0.8,85,55,44,37,59,4,0.5625,0.42718446601941745,0.9166666666666666,0.5827814569536424
3,1,0.6,0.8,85,60,37,45,51,11,0.5694444444444444,0.42045454545454547,0.7708333333333334,0.5441176470588236
3,1,0.6,0.8,85,65,37,59,37,11,0.6666666666666666,0.5,0.7708333333333334,0.6065573770491803
3,1,0.6,0.8,85,70,34,71,25,14,0.7291666666666666,0.576271186440678,0.7083333333333334,0.6355140186915889
3,1,0.6,0.8,85,75,23,79,17,25,0.7083333333333334,0.575,0.4791666666666667,0.5227272727272727
3,1,0.6,0.8,85,80,14,86,10,34,0.6944444444444444,0.5833333333333334,0.2916666666666667,0.38888888888888895
3,1,0.6,0.8,85,85,8,91,5,40,0.6875,0.6153846153846154,0.16666666666666666,0.26229508196721313
3,1,0.6,0.8,85,90,7,93,3,41,0.6944444444444444,0.7,0.14583333333333334,0.2413793103448276
3,1,0.6,0.8,85,95,3,93,3,45,0.6666666666666666,0.5,0.0625,0.1111111111111111
3,1,0.6,0.8,85,100,1,95,1,47,0.6666666666666666,0.5,0.020833333333333332,0.039999999999999994
